,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
343,TextComment_CC,2022-09-29,8948,2022-10-06,1,9990
344,TextComment_CC,2022-09-29,1866,2022-10-07,1,5911
345,TextComment_CC,2022-09-29,6049,2022-10-12,2,46011
346,TextComment_CC,2022-09-29,6937,2022-10-27,1,823
347,TextComment_CC,2022-10-03,6953,2022-10-14,1,12169
348,TextComment_CC,2022-10-03,6715,2023-01-06,2,3207
349,TextComment_CC,2022-10-04,1305,2022-10-10,1,2042
350,TextComment_CC,2022-10-05,3884,2022-11-07,2,2293
351,TextComment_CC,2022-10-06,3803,2022-10-13,1,5747
352,TextComment_CC,2022-10-06,3535,2022-11-07,1,1445
353,TextComment_CC,2022-10-07,3479,2022-10-17,1,13148
354,TextComment_CC,2022-10-07,1645,2022-10-27,1,2459
355,TextComment_CC,2022-10-07,8421,2022-11-22,3,4374
356,TextComment_CC,2022-10-07,3531,2022-12-22,3,3795
357,TextComment_CC,2022-10-07,4681,2023-02-16,2,2914
358,TextComment_CC,2022-10-07,2987,2023-04-17,3,2461
359,TextComment_CC,2022-10-07,1767,2023-05-05,2,1346
360,TextComment_CC,2022-10-07,6893,2023-05-11,4,2650
361,TextComment_CC,2022-10-10,6315,2022-10-28,2,6315
362,TextComment_CC,2022-10-10,6751,2022-11-08,2,2632
363,TextComment_CC,2022-10-10,6737,2022-11-10,4,11732
364,TextComment_CC,2022-10-11,8948,2022-10-12,1,10113
365,TextComment_CC,2022-10-11,7396,2022-10-31,1,1943
366,TextComment_CC,2022-10-11,6952,2023-03-22,50,10426
367,TextComment_CC,2022-10-12,1866,2022-10-15,1,5937
368,TextComment_CC,2022-10-12,6049,2022-10-19,1,46702
369,TextComment_CC,2022-10-12,7252,2022-10-20,1,1392
370,TextComment_CC,2022-10-12,8948,2022-10-25,1,10247
371,TextComment_CC,2022-10-12,6942,2022-10-31,1,3306
372,TextComment_CC,2022-10-13,3546,2022-12-20,2,2398
373,TextComment_CC,2022-10-13,2500,2023-01-10,12,16836
374,TextComment_CC,2022-10-15,8597,2022-11-21,3,10782
375,TextComment_CC,2022-10-17,3479,2022-10-19,1,13185
376,TextComment_CC,2022-10-17,5595,2023-02-17,3,3503
377,TextComment_CC,2022-10-18,1025,2022-10-19,1,3166
378,TextComment_CC,2022-10-19,1729,2022-10-20,1,4121
379,TextComment_CC,2022-10-19,1085,2023-04-28,14,4494
380,TextComment_CC,2022-10-20,519176,2022-10-26,1,976
381,TextComment_CC,2022-10-20,6049,2022-10-30,1,47356
382,TextComment_CC,2022-10-21,6953,2022-11-08,1,12270
383,TextComment_CC,2022-10-21,7721,2022-12-14,7,11510
384,TextComment_CC,2022-10-25,8948,2022-10-31,1,10361
385,TextComment_CC,2022-10-26,6844,2022-10-28,1,4967
386,TextComment_CC,2022-10-26,3427,2022-11-07,1,2065
387,TextComment_CC,2022-10-26,6079,2023-01-10,6,6357
388,TextComment_CC,2022-10-27,5699,2022-10-28,1,2395
389,TextComment_CC,2022-10-27,5740,2022-10-31,1,1510
390,TextComment_CC,2022-10-27,3721,2022-11-09,1,2099
391,TextComment_CC,2022-10-27,1645,2022-11-11,1,2582
392,TextComment_CC,2022-10-27,8477,2023-01-10,2,1806
393,TextComment_CC,2022-10-27,6074,2023-01-10,1,1082
