,ACTIVITY,ACTIVITY_ID,TS,CUSTOMER,FEATURE_JSON,ACTIVITY_OCCURRENCE,ACTIVITY_REPEATED_AT
3129,ArticleView_CC,CC_396134,2022-02-11,1729,"{
  ""subject"": ""SmartTown Wifi""
}",1430,2022-02-11
3130,ArticleView_CC,CC_396866,2022-02-11,1729,"{
  ""subject"": ""Calix Marketing Cloud""
}",1467,2022-02-11
3131,ArticleView_CC,CC_396159,2022-02-11,1729,"{
  ""subject"": ""Gigaspire Blast""
}",1455,2022-02-11
3132,ArticleView_CC,CC_396856,2022-02-11,1729,"{
  ""subject"": ""SmartTown Wifi""
}",1456,2022-02-11
3133,ArticleView_CC,CC_396858,2022-02-11,1729,"{
  ""subject"": ""Gigaspire Blast""
}",1458,2022-02-11
3134,ArticleView_CC,CC_396859,2022-02-11,1729,"{
  ""subject"": ""Wifi 6e""
}",1459,2022-02-11
3135,ArticleView_CC,CC_396155,2022-02-11,1729,"{
  ""subject"": ""22.1 Exos""
}",1460,2022-02-11
3136,ArticleView_CC,CC_396861,2022-02-11,1729,"{
  ""subject"": ""Gigaspire Blast U6me""
}",1461,2022-02-11
3137,TextComment_CC,CC_70903,2022-02-11,6953,"{
  ""subject"": ""Support Cloud""
}",1591,2022-02-11
3138,TextComment_CC,CC_70904,2022-02-11,6953,"{
  ""subject"": ""Devices""
}",1592,2022-02-11
3139,TextComment_CC,CC_70905,2022-02-11,6953,"{
  ""subject"": ""Devices Tab""
}",1593,2022-02-11
3140,TextComment_CC,CC_70906,2022-02-11,6953,"{
  ""subject"": ""VLAN""
}",1594,2022-02-11
3141,TextComment_CC,CC_70907,2022-02-11,6953,"{
  ""subject"": ""Premises Products""
}",1595,2022-02-11
3142,TextComment_CC,CC_70908,2022-02-11,6953,"{
  ""subject"": ""LAN Ports""
}",1596,2022-02-11
3143,TextComment_CC,CC_70909,2022-02-11,6953,"{
  ""subject"": ""LAN""
}",1597,2022-02-17
3144,ArticleView_CC,CC_398563,2022-02-14,1729,"{
  ""subject"": ""Premises Products""
}",1504,2022-02-14
3145,ArticleView_CC,CC_398562,2022-02-14,1729,"{
  ""subject"": ""22.1 Exos""
}",1503,2022-02-14
3146,FeedView_CC,CC_398474,2022-02-14,1729,"{
  ""subject"": ""E-Series (EXA)""
}",6284,2022-02-14
3147,ArticleView_CC,CC_398565,2022-02-14,1729,"{
  ""subject"": ""Broadband Marketing Academy""
}",1501,2022-02-14
3148,ArticleView_CC,CC_398559,2022-02-14,1729,"{
  ""subject"": ""22.1""
}",1500,2022-02-14
3149,ArticleView_CC,CC_398558,2022-02-14,1729,"{
  ""subject"": ""Support Cloud""
}",1499,2022-02-14
3150,ArticleView_CC,CC_398560,2022-02-14,1729,"{
  ""subject"": ""Commandiq""
}",1498,2022-02-14
3151,ArticleView_CC,CC_398553,2022-02-14,1729,"{
  ""subject"": ""Success TV""
}",1510,2022-02-14
3152,ArticleView_CC,CC_398555,2022-02-14,1729,"{
  ""subject"": ""Gigaspire Blast""
}",1508,2022-02-14
3153,ArticleView_CC,CC_398556,2022-02-14,1729,"{
  ""subject"": ""Calix Marketing Cloud""
}",1507,2022-02-14
3154,FeedView_CC,CC_398473,2022-02-14,1729,"{
  ""subject"": ""SSID Manager""
}",6288,2022-02-14
3155,FeedView_CC,CC_398472,2022-02-14,1729,"{
  ""subject"": ""SSID""
}",6287,2022-02-14
3156,FeedView_CC,CC_398476,2022-02-14,1729,"{
  ""subject"": ""CMS""
}",6286,2022-02-14
3157,ArticleView_CC,CC_398561,2022-02-14,1729,"{
  ""subject"": ""Managed Services""
}",1502,2022-02-14
3158,FeedView_CC,CC_398471,2022-02-14,1729,"{
  ""subject"": ""Support Cloud""
}",6283,2022-02-14
3159,FeedView_CC,CC_398475,2022-02-14,1729,"{
  ""subject"": ""TAC""
}",6285,2022-02-15
3160,ArticleView_CC,CC_398566,2022-02-14,1729,"{
  ""subject"": ""Customer Resources""
}",1511,2022-02-22
3161,ArticleView_CC,CC_398554,2022-02-14,1729,"{
  ""subject"": ""SmartTown Wifi""
}",1509,2022-02-14
3162,FeedView_CC,CC_398477,2022-02-14,1729,"{
  ""subject"": ""ONT""
}",6289,2022-02-14
3163,ArticleView_CC,CC_398557,2022-02-14,1729,"{
  ""subject"": ""Smart Home & Business""
}",1506,2022-02-14
3164,ArticleView_CC,CC_398564,2022-02-14,1729,"{
  ""subject"": ""Revenue Edge""
}",1505,2022-02-14
3165,ArticleView_CC,CC_399329,2022-02-14,6193,"{
  ""subject"": ""Calix Marketing Cloud""
}",239,2022-02-14
3166,ArticleView_CC,CC_399605,2022-02-14,6193,"{
  ""subject"": ""WPS""
}",261,2022-02-15
3167,ArticleView_CC,CC_399604,2022-02-14,6193,"{
  ""subject"": ""Gigaspire Blast""
}",260,2022-02-14
3168,ArticleView_CC,CC_399333,2022-02-14,6193,"{
  ""subject"": ""Customer Success Best Practice""
}",256,2022-02-14
